Entry ID,Crystallization Method,Temp (K),pH,Matthews Coefficient,Percent Solvent Content,Component_1_Name,Component_1_Conc,Component_1_pH
7GEZ,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.9,35.42,PEG 4K,35.42,6.5
7GF2,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.97,37.64,PEG 4K,37.64,6.5
7GF5,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.96,37.21,PEG 4K,37.21,6.5
7GF6,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.99,38.04,PEG 4K,38.04,6.5
7GF8,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.96,37.15,PEG 4K,37.15,6.5
7GFH,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.96,37.31,PEG 4K,37.31,6.5
7GFR,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.97,37.49,PEG 4K,37.49,6.5
7GFZ,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.95,36.79,PEG 4K,36.79,6.5
7GG1,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.9,35.36,PEG 4K,35.36,6.5
7GG3,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.9,35.41,PEG 4K,35.41,6.5
7GGA,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.93,36.16,PEG 4K,36.16,6.5
7GGB,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.91,35.64,PEG 4K,35.64,6.5
7GGD,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.92,35.77,PEG 4K,35.77,6.5
7GGS,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.89,35.0,PEG 4K,35.0,6.5
7GGZ,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.9,35.13,PEG 4K,35.13,6.5
7GHC,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.89,34.83,PEG 4K,34.83,6.5
7GHG,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.97,37.45,PEG 4K,37.45,6.5
7GHL,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,1.91,35.71,PEG 4K,35.71,6.5
7GHX,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,2.55,51.68,PEG 4K,51.68,6.5
7GLX,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,2.59,52.44,PEG 4K,52.44,6.5
7GNJ,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,2.63,53.23,PEG 4K,53.23,6.5
7GNU,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,2.66,53.74,PEG 4K,53.74,6.5
8EY3,"VAPOR DIFFUSION, SITTING DROP",277.0,6.973158790498431,1.77,30.62,SODIUM MALONATE,30.62,7.0
8PBF,"VAPOR DIFFUSION, HANGING DROP",295.0,7.5,2.05,40.0,PEG 4000,40.0,7.5
8PF9,"VAPOR DIFFUSION, HANGING DROP",295.0,7.5,1.95,36.89,PEG 4000,36.89,7.5
8PFF,"VAPOR DIFFUSION, HANGING DROP",295.0,7.5,1.93,36.12,PEG 4000,36.12,7.5
8PI4,"VAPOR DIFFUSION, SITTING DROP",291.0,8.5,3.2,61.61,SODIUM ACETATE TRIHYDRATE,61.61,8.5
8QLT,"VAPOR DIFFUSION, SITTING DROP",293.0,6.94,2.16,42.93,PROTEIN SOLUTION: 11 MG/ML MST3 IN 25 MM HEPES,42.93,7.5
8SBM,"VAPOR DIFFUSION, HANGING DROP",295.0,6.534923523546449,2.19,43.78,ZNCL2,43.78,6.534923523546449
8TG3,"VAPOR DIFFUSION, SITTING DROP",295.0,5.341393790596004,2.0,38.59,KNO3,38.59,5.341393790596004
8TG4,"VAPOR DIFFUSION, SITTING DROP",295.0,4.702669094357989,1.86,33.99,KNO3,33.99,4.702669094357989
8TXE,"VAPOR DIFFUSION, SITTING DROP",286.15,7.0457305141173565,2.18,43.56,SODIUM ACETATE,43.56,4.5
8TXH,"VAPOR DIFFUSION, SITTING DROP",286.15,6.852568330639077,2.17,43.41,SODIUM ACETATE,43.41,4.5
8BT4,"VAPOR DIFFUSION, SITTING DROP",294.0,6.158194386563531,2.2,46.2,CALCIUM ACETATE,46.2,6.158194386563531
8EY7,"VAPOR DIFFUSION, HANGING DROP",294.0,6.996014885070084,1.81,31.93,SODIUM PHOSPHATE,31.93,6.996014885070084
8EY8,"VAPOR DIFFUSION, HANGING DROP",294.0,7.1461983781250105,1.8,31.7,AMMONIUM ACETATE,31.7,7.1461983781250105
8HXN,"VAPOR DIFFUSION, HANGING DROP",293.0,7.0285313262545435,1.96,37.35,20-40 MM AMMONIUM NITRATE,37.35,7.0285313262545435
8HY6,"VAPOR DIFFUSION, HANGING DROP",293.0,7.900000000000001,2.04,39.62,BIS-TRIS (,39.62,6.0
8JUF,VAPOR DIFFUSION,293.0,7.0,2.33,47.17,W/V POLYETHYLENE GLYCOL 8000,47.17,7.0
8JUG,VAPOR DIFFUSION,293.0,9.0,2.22,44.6,W/V POLYETHYLENE GLYCOL 20000,44.6,9.0
8PBG,"VAPOR DIFFUSION, HANGING DROP",291.0,7.5,2.55,51.84,HEPES,51.84,7.5
8PBM,"VAPOR DIFFUSION, HANGING DROP",291.0,7.0,2.53,51.39,TRIS-HCL,51.39,7.0
8PBT,"VAPOR DIFFUSION, HANGING DROP",291.0,6.5,2.51,50.93,HEPES,50.93,6.5
8T5Y,"VAPOR DIFFUSION, HANGING DROP",277.0,8.0,2.48,50.41,SUCCINIC ACID,50.41,7.0
7SUT,"VAPOR DIFFUSION, SITTING DROP",300.0,5.5,2.36,47.95,BIS-TRIS + 25 % (W/V) PEG 3350,47.95,5.5
8BAE,"VAPOR DIFFUSION, SITTING DROP",291.0,5.7,1.74,29.43,2 UL 40 MM SODIUM CACODYLATE,29.43,5.7
8BAG,"VAPOR DIFFUSION, SITTING DROP",291.0,5.7,1.73,28.79,2 UL 40 MM SODIUM CACODYLATE,28.79,5.7
8EI0,"VAPOR DIFFUSION, SITTING DROP",291.0,7.0,2.49,50.7,AMMONIUM SULFATE,50.7,7.0
8H5J,"VAPOR DIFFUSION, SITTING DROP",295.0,5.036382880025558,1.86,33.72,PEG3350,33.72,5.036382880025558
8H5K,"VAPOR DIFFUSION, SITTING DROP",295.0,7.617419118514596,1.82,32.6,PEG3350,32.6,7.617419118514596
8JE9,VAPOR DIFFUSION,293.0,5.54,2.03,39.27,MAGNESIUM ACETATE,39.27,5.54
8JEA,VAPOR DIFFUSION,293.0,7.5,2.04,39.74,MAGNESIUM ACETATE,39.74,7.5
8JEB,VAPOR DIFFUSION,293.0,7.55,2.25,45.44,MAGNESIUM ACETATE,45.44,7.55
8ON4,"VAPOR DIFFUSION, SITTING DROP",291.15,7.499977569855076,1.82,32.29,LITHIUM CHLORIDE,32.29,7.499977569855076
8ONB,"VAPOR DIFFUSION, SITTING DROP",291.15,7.499970238991224,2.04,39.64,MAGNESIUM ACETATE TETRAHYDRATE,39.64,7.499970238991224
8P7U,"VAPOR DIFFUSION, HANGING DROP",293.0,8.0,3.18,61.28,"(NH4)2SO4
12% GLYCEROL
0.1M TRIS PH=8.0",61.28,8.0
8Q1Q,VAPOR DIFFUSION,293.0,5.9,2.72,54.86,0.7-0.9M LITHIUM SULFATE,54.86,5.9
8Q1R,VAPOR DIFFUSION,293.0,5.9,2.71,54.55,0.7-0.9M LITHIUM SULFATE,54.55,5.9
8SCY,MICROBATCH,277.0,4.6,2.08,40.77,NACL WITH 0.1 M SODIUM ACETATE BUFFER (,40.77,4.6
7QLO,BATCH MODE,293.0,7.425000000000001,2.28,45.94,LITHIUM SULFATE 0.1 M TRIS-CL,45.94,8.5
8ERD,"VAPOR DIFFUSION, HANGING DROP",292.0,7.5,2.1,41.38,15-20% PEG 4K,41.38,7.5
8ERE,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.03,39.53,ETHYLENE GLYCOL,39.53,7.5
8ERF,"VAPOR DIFFUSION, SITTING DROP",293.0,4.6,2.14,42.59,(NH4)SO4,42.59,4.6
8ERH,"VAPOR DIFFUSION, SITTING DROP",293.0,4.2,2.22,44.56,(NH4)2SO4,44.56,4.2
8FSD,"VAPOR DIFFUSION, SITTING DROP",293.0,8.5,2.65,53.54,"0.18-0.25 TMAO
0.1 M TRIS HCL
21-23% W/V PEG MME 2000",53.54,8.5
8FZW,MICROBATCH,277.0,7.799999999999999,2.93,58.04,L-SODIUM POTASSIUM TARTRATE WITH 0.1 M ADA BUFFER (,58.04,6.0
8JDG,VAPOR DIFFUSION,289.0,6.594620883093904,2.55,51.79,SODIUM FORMATE,51.79,6.594620883093904
8JDQ,VAPOR DIFFUSION,289.0,6.594250438001878,2.55,51.67,SODIUM FORMATE,51.67,6.594250438001878
8OYS,"VAPOR DIFFUSION, SITTING DROP",277.15,4.0,2.6,52.64,NA3 CIT,52.64,4.0
8PXA,VAPOR DIFFUSION,277.0,7.800000000000001,2.07,40.53,TRIS,40.53,8.5
7FQI,"VAPOR DIFFUSION, SITTING DROP",293.0,9.0,2.03,39.45,DEGLYCOSYLATED PROTEIN IN 25MM HEPES/NAOH,39.45,7.0
8B66,"VAPOR DIFFUSION, SITTING DROP",291.0,5.0,2.16,43.17,DI-AMMONIUMHYDROGEN CITRATE,43.17,5.0
8B6P,VAPOR DIFFUSION,293.0,6.1,2.38,48.33,BICINE,48.33,9.0
8FTP,"VAPOR DIFFUSION, SITTING DROP",289.15,7.5,2.72,54.73,0.15 UL 9.1 MG/ML FPHH (10MM HEPES,54.73,7.6
8GEU,"VAPOR DIFFUSION, SITTING DROP",293.0,5.5,2.15,42.74,BIS-TRIS,42.74,5.5
8H3G,"VAPOR DIFFUSION, HANGING DROP",293.15,6.05,2.33,47.16,SODIUM FORMATE,47.16,6.05
8H7K,EVAPORATION,293.0,7.425000000000001,2.66,53.83,W/V LIDOCAINE HYDROCHLORIDE MONOHYDRATE,53.83,7.425000000000001
8JZ0,"VAPOR DIFFUSION, SITTING DROP",293.0,6.911186199608405,2.24,44.97,SODIUM CITRATE,44.97,6.911186199608405
8JZ1,"VAPOR DIFFUSION, HANGING DROP",293.0,6.04,1.95,36.98,BIS-TRIS,36.98,6.04
8SE5,"VAPOR DIFFUSION, SITTING DROP",293.0,6.640000000000001,2.3,46.43,"0.15 - 0.22 M NANO3 
20- 31 % (W/V) PEG 3350",46.43,6.640000000000001
8SE6,"VAPOR DIFFUSION, SITTING DROP",293.0,6.9799999999999995,2.41,49.04,0.15 - 0.22 M NANO3,49.04,6.9799999999999995
8B4T,"VAPOR DIFFUSION, HANGING DROP",291.0,5.5,2.1,41.31,SODIUM ACETATE,41.31,5.5
8B5M,"VAPOR DIFFUSION, HANGING DROP",291.15,7.5,2.06,40.17,PEG3350,40.17,7.5
8CRF,"VAPOR DIFFUSION, HANGING DROP",291.15,7.5,1.84,33.01,BIS-TRIS,33.01,6.5
8CRK,"VAPOR DIFFUSION, HANGING DROP",291.15,7.499977494187907,1.81,31.9,BIS-TRIS,31.9,6.5
8CRM,"VAPOR DIFFUSION, HANGING DROP",291.15,7.5,1.83,32.61,BIS-TRIS,32.61,6.5
8E2N,"VAPOR DIFFUSION, SITTING DROP",292.8,6.420367944493197,1.78,31.0,PEG3350,31.0,6.420367944493197
8EBK,"VAPOR DIFFUSION, SITTING DROP",293.0,7.0,2.06,40.15,BISTRIS,40.15,6.0
8FQ7,"VAPOR DIFFUSION, HANGING DROP",293.0,5.5,2.18,43.6,AMMONIUM SULFATE,43.6,5.5
8GD2,"VAPOR DIFFUSION, SITTING DROP",293.0,5.5,2.14,42.48,BIS-TRIS,42.48,5.5
8GEY,"VAPOR DIFFUSION, SITTING DROP",293.0,5.5,2.15,42.88,BIS-TRIS,42.88,5.5
8IBQ,"VAPOR DIFFUSION, HANGING DROP",289.0,6.841562737439911,2.12,41.96,NAFORMATE 10% GLYCEROL,41.96,6.841562737439911
8T26,"VAPOR DIFFUSION, SITTING DROP",296.0,7.0,2.46,50.0,AMMONIUM CITRATE TRIBASIC,50.0,7.0
8T27,"VAPOR DIFFUSION, SITTING DROP",296.0,7.0,2.47,50.22,AMMONIUM CITRATE TRIBASIC,50.22,7.0
7QLM,BATCH MODE,293.0,6.5,2.3,46.42,LITHIUM SULFATE 0.1 M TRIS-CL,46.42,8.5
8B34,"VAPOR DIFFUSION, SITTING DROP",291.0,5.0,2.16,43.11,DI-AMMONIUMHYDROGEN CITRATE,43.11,5.0
8B3N,"VAPOR DIFFUSION, SITTING DROP",291.0,5.0,2.17,43.35,DI-AMMONIUMHYDROGEN CITRATE,43.35,5.0
8B3R,"VAPOR DIFFUSION, SITTING DROP",291.0,5.0,2.2,44.04,DI-AMMONIUMHYDROGEN CITRATE,44.04,5.0
8BHX,"VAPOR DIFFUSION, SITTING DROP",295.0,8.0,2.16,42.99,"PEG 1500 AND 
0.1 M SODIUM MALONATE DIBASIC MONOHYDRATE",42.99,8.0
8BWG,"VAPOR DIFFUSION, SITTING DROP",293.0,6.6,2.61,52.9,USING A COMMERCIAL CRYSTAL SCREEN (HAMPTON RESEARCH,52.9,6.6
8CM6,"VAPOR DIFFUSION, HANGING DROP",293.0,8.0,2.35,47.72,PEG 3350,47.72,8.0
8CNJ,"VAPOR DIFFUSION, SITTING DROP",277.0,8.0,2.13,42.32,BEF3- GSA COMPLEXES WERE OBTAINED UNDER VAPOUR DIFFUSION SITTING DROP CONDITIONS. PROTEIN BUFFER (HRAS PY64 OR HRAS 0.4 MM,42.32,8.0
8CNN,"VAPOR DIFFUSION, SITTING DROP",277.0,8.2,2.52,51.2,PROTEIN BUFFER (PHOSPHO-HRAS PY64 0.4 MM,51.2,8.2
8ELI,"VAPOR DIFFUSION, SITTING DROP",293.0,6.82,2.21,44.29,MPD,44.29,6.82
8GOS,"VAPOR DIFFUSION, SITTING DROP",298.0,7.5,1.93,36.35,HEPES-NAOH BUFFER (,36.35,7.5
8U1E,"VAPOR DIFFUSION, SITTING DROP",277.15,7.0,2.21,40.43,MGCL2,40.43,7.0
8U94,"VAPOR DIFFUSION, SITTING DROP",291.0,6.5,2.11,41.78,MORPHEUS E4: 12.5%(V/V) MPD,41.78,6.5
8U98,"VAPOR DIFFUSION, SITTING DROP",291.0,7.5,2.65,53.54,MORPHEUS E6: 20%(V/V) ETHYLENE GLYCOL,53.54,7.5
8W59,"VAPOR DIFFUSION, SITTING DROP",293.0,4.5,2.35,47.76,PEG 3350,47.76,4.5
7FPL,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.13,42.24,IMADAZOLE (,42.24,5.4
7FPM,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.13,42.33,IMADAZOLE (,42.33,5.4
7FPN,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.13,42.19,IMADAZOLE (,42.19,5.4
7FPO,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.43,IMADAZOLE (,42.43,5.4
7FPP,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.13,42.37,IMADAZOLE (,42.37,5.4
7FPQ,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.13,42.32,IMADAZOLE (,42.32,5.4
7FPR,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.13,42.36,IMADAZOLE (,42.36,5.4
7FPS,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.44,IMADAZOLE (,42.44,5.4
7FPT,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.47,IMADAZOLE (,42.47,5.4
7FPU,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.47,IMADAZOLE (,42.47,5.4
7FPV,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.44,IMADAZOLE (,42.44,5.4
7FPW,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.44,IMADAZOLE (,42.44,5.4
7FPX,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.13,42.14,IMADAZOLE (,42.14,5.4
7FPY,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.13,42.17,IMADAZOLE (,42.17,5.4
7FPZ,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.11,41.69,IMADAZOLE (,41.69,5.4
7FQ0,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.52,IMADAZOLE (,42.52,5.4
7FQ1,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.4,IMADAZOLE (,42.4,5.4
7FQ2,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.13,42.15,IMADAZOLE (,42.15,5.4
7FQ3,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.49,IMADAZOLE (,42.49,5.4
7FQ4,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.12,42.05,IMADAZOLE (,42.05,5.4
7FQ5,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.13,42.23,IMADAZOLE (,42.23,5.4
7FQ6,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.13,42.21,IMADAZOLE (,42.21,5.4
7FQ7,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.54,IMADAZOLE (,42.54,5.4
7FQ8,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.15,42.71,IMADAZOLE (,42.71,5.4
7FQ9,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.61,IMADAZOLE (,42.61,5.4
7FQA,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.13,42.28,IMADAZOLE (,42.28,5.4
7FQB,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.13,42.34,IMADAZOLE (,42.34,5.4
7FQC,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.64,IMADAZOLE (,42.64,5.4
7FQD,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.41,IMADAZOLE (,42.41,5.4
7FQE,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.14,42.61,IMADAZOLE (,42.61,5.4
7FQF,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.15,42.84,IMADAZOLE (,42.84,5.4
7FQG,"VAPOR DIFFUSION, SITTING DROP",277.0,5.6,2.15,42.73,IMADAZOLE (,42.73,5.4
8A0S,"VAPOR DIFFUSION, SITTING DROP",292.0,6.500053180426313,2.02,39.21,PEG6000,39.21,6.500053180426313
8ALR,"VAPOR DIFFUSION, SITTING DROP",277.0,8.1,2.64,53.32,HEPES (,53.32,7.5
8ALT,"VAPOR DIFFUSION, SITTING DROP",277.0,7.9,2.64,53.38,HEPES (,53.38,7.1
8ANF,"VAPOR DIFFUSION, SITTING DROP",277.0,8.2,2.65,53.66,HEPES (,53.66,7.3
8AOY,"VAPOR DIFFUSION, SITTING DROP",277.0,8.0,2.67,53.96,HEPES (,53.96,7.7
8APS,"VAPOR DIFFUSION, SITTING DROP",277.0,7.799999999999999,2.68,54.17,HEPES (,54.17,7.3
8AQ1,"VAPOR DIFFUSION, HANGING DROP",277.0,7.799999999999999,2.68,54.17,HEPES (,54.17,7.1
8AQZ,"VAPOR DIFFUSION, HANGING DROP",277.0,7.8,2.63,53.18,HEPES (,53.18,7.1
8AR5,"VAPOR DIFFUSION, SITTING DROP",277.0,8.3,2.65,53.6,HEPES (,53.6,7.1
8ARQ,"VAPOR DIFFUSION, HANGING DROP",277.0,8.3,2.66,53.74,HEPES (,53.74,7.1
8ARR,"VAPOR DIFFUSION, SITTING DROP",277.0,8.2,2.62,53.02,HEPES (,53.02,7.4
8ARX,"VAPOR DIFFUSION, SITTING DROP",277.0,8.0,2.69,54.3,HEPES (,54.3,7.1
8ARY,"VAPOR DIFFUSION, SITTING DROP",277.0,8.2,2.66,53.76,HEPES (,53.76,7.1
8AT9,"VAPOR DIFFUSION, SITTING DROP",277.0,8.5,2.64,53.46,HEPES (,53.46,7.1
8ATP,"VAPOR DIFFUSION, SITTING DROP",277.0,8.16,2.66,53.72,HEPES (,53.72,7.1
8ATS,"VAPOR DIFFUSION, SITTING DROP",277.0,8.16,2.6,52.66,HEPES (,52.66,7.1
8AUS,"VAPOR DIFFUSION, SITTING DROP",277.0,8.299999999999999,2.65,53.54,HEPES (,53.54,7.1
8AV7,"VAPOR DIFFUSION, SITTING DROP",277.0,8.1,2.63,53.15,HEPES (,53.15,7.1
8B39,"VAPOR DIFFUSION, SITTING DROP",277.0,7.8,2.66,53.75,HEPES (,53.75,7.3
8BBQ,"VAPOR DIFFUSION, SITTING DROP",293.0,7.220000000000001,2.12,41.87,AMMONIUM SULFATE,41.87,7.220000000000001
8EDY,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.49,50.69,PEG3350,50.69,6.05
8EER,"VAPOR DIFFUSION, SITTING DROP",293.15,7.04428665647988,2.47,50.14,PEG3350,50.14,7.04428665647988
8EHH,"VAPOR DIFFUSION, HANGING DROP",294.0,4.9,2.13,42.0,SODIUM CHLORIDE + 1.55 M AMMONIUM SULFATE,42.0,4.9
8EIE,"VAPOR DIFFUSION, SITTING DROP",293.15,8.5,2.23,44.74,PEG4000,44.74,8.5
8F5C,"VAPOR DIFFUSION, HANGING DROP",293.0,7.5,2.18,42.17,MAGNESIUM CHLORIDE,42.17,7.5
8GXN,"VAPOR DIFFUSION, HANGING DROP",289.0,5.5,2.44,49.54,AMMONIUM SULFATE,49.54,5.5
8HEK,VAPOR DIFFUSION,293.0,7.1,1.73,28.76,W/V PEG8000,28.76,7.1
8HTB,"VAPOR DIFFUSION, SITTING DROP",293.0,8.1,2.33,47.31,TRIS-HCL,47.31,8.1
8I0D,"VAPOR DIFFUSION, HANGING DROP",289.0,6.919458568928024,2.26,45.64,CITRIC ACID,45.64,6.919458568928024
8IBP,"VAPOR DIFFUSION, SITTING DROP",291.0,6.5,2.57,52.21,SODIUM ACETATE,52.21,6.5
8J6G,MICRODIALYSIS,289.0,6.211579417064962,3.03,59.35,POTASSIUM-SODIUM TARTRATE IN 25 MM HEPES BUFFER,59.35,6.211579417064962
8Q3U,"VAPOR DIFFUSION, HANGING DROP",293.0,8.5,2.14,42.6,PEG 3350,42.6,8.5
8TSU,"VAPOR DIFFUSION, HANGING DROP",298.0,8.6,2.25,45.41,PEG 3350,45.41,8.6
8TSX,"VAPOR DIFFUSION, SITTING DROP",298.0,8.8,2.16,43.14,PEG 3350,43.14,8.8
8TSY,"VAPOR DIFFUSION, HANGING DROP",298.0,8.6,2.26,45.51,"POLYETHYLENE
GLYCOL (PEG) 3350",45.51,8.6
8TSZ,"VAPOR DIFFUSION, HANGING DROP",298.0,8.6,2.24,45.2,"POLYETHYLENE
GLYCOL (PEG) 3350",45.2,8.6
8TT1,"VAPOR DIFFUSION, HANGING DROP",298.0,5.0,1.94,36.63,PEG 3350,36.63,5.0
8TT2,"VAPOR DIFFUSION, HANGING DROP",298.0,5.4,2.11,41.7,PEG 3350,41.7,5.4
8TT4,"VAPOR DIFFUSION, HANGING DROP",298.0,6.0,2.11,41.58,PEG 3350,41.58,6.0
8TT5,"VAPOR DIFFUSION, HANGING DROP",298.0,8.3,2.11,41.6,PEG 3350,41.6,8.3
8AXJ,EVAPORATION,293.0,5.5,1.78,30.9,SODIUM CITRATE,30.9,5.5
8AXO,EVAPORATION,277.0,7.8,1.86,33.85,AMMONIUM SULFATE,33.85,7.8
8AXY,"VAPOR DIFFUSION, SITTING DROP",291.0,7.1,2.54,51.54,- 0.1 M HEPES,51.54,7.0
8AZC,"VAPOR DIFFUSION, SITTING DROP",291.0,8.2,1.99,38.21,K2HPO4/NAH2PO4,38.21,8.2
8AZF,"VAPOR DIFFUSION, HANGING DROP",291.0,7.100000000000001,2.81,56.23,KH2PO4,56.23,7.100000000000001
8BO6,"VAPOR DIFFUSION, HANGING DROP",293.0,5.92,2.2,44.11,CITRATE BUFFER,44.11,4.5
8BO7,"VAPOR DIFFUSION, HANGING DROP",293.0,6.220000000000001,2.29,46.33,CITRATE BUFFER,46.33,4.5
8ECS,"VAPOR DIFFUSION, HANGING DROP",277.0,8.1,2.21,44.4,PEG400(10%-25%),44.4,8.1
8ECU,"VAPOR DIFFUSION, HANGING DROP",277.0,8.3,2.19,43.9,PEG400 (10%-25%),43.9,8.3
8H18,"VAPOR DIFFUSION, HANGING DROP",293.0,7.425000000000001,2.67,53.9,AMMONIUM SULFATE,53.9,7.425000000000001
8H2F,"VAPOR DIFFUSION, HANGING DROP",293.0,6.68,2.66,53.72,AMMONIUM SULFATE,53.72,6.68
8OK4,"VAPOR DIFFUSION, HANGING DROP",296.0,8.5,1.89,34.96,NAKTARTRATE,34.96,8.5
8OK5,"VAPOR DIFFUSION, HANGING DROP",296.0,8.5,1.98,37.74,NAKTARTRATE 100 MM TRIS/HCL,37.74,8.5
8PH5,"VAPOR DIFFUSION, HANGING DROP",293.0,7.5,2.01,38.72,SODIUM FORMATE AND 0.1 M HEPES BUFFER AT,38.72,7.5
8PH6,"VAPOR DIFFUSION, HANGING DROP",293.0,7.5,2.01,38.75,SODIUM FORMATE AND 0.1 M HEPES BUFFER AT,38.75,7.5
8PH7,"VAPOR DIFFUSION, HANGING DROP",293.0,7.0,2.01,38.72,SUCCINIC ACID AT,38.72,7.0
8PH8,"VAPOR DIFFUSION, HANGING DROP",293.0,7.0,2.01,38.72,SUCCINIC ACID AT,38.72,7.0
8Q9X,"VAPOR DIFFUSION, HANGING DROP",288.0,3.5,2.2,44.07,SODIUM FORMATE,44.07,3.5
8Q9Y,"VAPOR DIFFUSION, HANGING DROP",288.0,3.5,2.2,44.05,SODIUM FORMATE,44.05,3.5
8W6X,"VAPOR DIFFUSION, SITTING DROP",283.0,7.0,2.34,47.5,2-METHYL-2,47.5,7.0
8AUU,"VAPOR DIFFUSION, SITTING DROP",291.0,5.0,2.18,43.57,DI-AMMONIUMHYDROGEN CITRATE,43.57,5.0
8BJE,"VAPOR DIFFUSION, SITTING DROP",298.0,6.5,2.08,40.86,PEG 8000,40.86,6.5
8BJK,"VAPOR DIFFUSION, SITTING DROP",283.0,6.5,2.55,51.76,PEG 3350 (SIGMA-ALDRICH),51.76,6.5
8BK4,"VAPOR DIFFUSION, SITTING DROP",298.0,5.6,2.21,44.36,MPD,44.36,5.6
8BK5,"VAPOR DIFFUSION, SITTING DROP",298.0,7.5,2.18,43.63,2-PROPANOL,43.63,7.5
8CHL,"VAPOR DIFFUSION, SITTING DROP",293.0,6.04,2.56,51.96,AMMONIUM SULFATE,51.96,6.04
8CHM,"VAPOR DIFFUSION, SITTING DROP",293.0,7.425,2.75,55.26,AMMONIUM SULFATE,55.26,7.425
8CHN,"VAPOR DIFFUSION, HANGING DROP",293.0,6.1,2.28,46.16,PEG3350,46.16,6.1
8CHP,"VAPOR DIFFUSION, HANGING DROP",293.0,5.25,2.32,46.97,PEG3350,46.97,5.25
8CHQ,"VAPOR DIFFUSION, HANGING DROP",293.0,8.0,2.34,47.45,PEG3350,47.45,8.0
8CHR,"VAPOR DIFFUSION, HANGING DROP",293.0,6.459999999999999,2.28,46.15,PEG3350,46.15,6.459999999999999
8ECR,"VAPOR DIFFUSION, SITTING DROP",293.15,8.5,2.15,42.92,PEG8000,42.92,8.5
8EV4,"VAPOR DIFFUSION, SITTING DROP",291.15,8.5,2.17,38.19,AMMONIUM SULFATE,38.19,8.5
8GQQ,"VAPOR DIFFUSION, HANGING DROP",291.15,7.5,2.15,42.85,PEG 2K,42.85,7.5
8TTP,"VAPOR DIFFUSION, SITTING DROP",289.0,7.5,2.21,44.41,HEPES,44.41,7.5
